# hand-written bench-test loop: rounded 14m x 8m rectangle, 4.0m corner radius
# corner radius chosen > 1.5x R_min (2.57m) at the default wheelbase/max_steer_angle
# x,y
4.000,0.000
4.300,0.000
4.600,0.000
4.900,0.000
5.200,0.000
5.500,0.000
5.800,0.000
6.100,0.000
6.400,0.000
6.700,0.000
7.000,0.000
7.300,0.000
7.600,0.000
7.900,0.000
8.200,0.000
8.500,0.000
8.800,0.000
9.100,0.000
9.400,0.000
9.700,0.000
10.000,0.000
10.330,0.014
10.658,0.055
10.982,0.122
11.299,0.217
11.607,0.337
11.904,0.482
12.188,0.651
12.457,0.843
12.709,1.057
12.943,1.291
13.157,1.543
13.349,1.812
13.518,2.096
13.663,2.393
13.783,2.701
13.878,3.018
13.945,3.342
13.986,3.670
14.000,4.000
14.000,4.000
14.000,4.000
13.986,4.330
13.945,4.658
13.878,4.982
13.783,5.299
13.663,5.607
13.518,5.904
13.349,6.188
13.157,6.457
12.943,6.709
12.709,6.943
12.457,7.157
12.188,7.349
11.904,7.518
11.607,7.663
11.299,7.783
10.982,7.878
10.658,7.945
10.330,7.986
10.000,8.000
10.000,8.000
9.700,8.000
9.400,8.000
9.100,8.000
8.800,8.000
8.500,8.000
8.200,8.000
7.900,8.000
7.600,8.000
7.300,8.000
7.000,8.000
6.700,8.000
6.400,8.000
6.100,8.000
5.800,8.000
5.500,8.000
5.200,8.000
4.900,8.000
4.600,8.000
4.300,8.000
4.000,8.000
3.670,7.986
3.342,7.945
3.018,7.878
2.701,7.783
2.393,7.663
2.096,7.518
1.812,7.349
1.543,7.157
1.291,6.943
1.057,6.709
0.843,6.457
0.651,6.188
0.482,5.904
0.337,5.607
0.217,5.299
0.122,4.982
0.055,4.658
0.014,4.330
0.000,4.000
0.000,4.000
0.000,4.000
0.014,3.670
0.055,3.342
0.122,3.018
0.217,2.701
0.337,2.393
0.482,2.096
0.651,1.812
0.843,1.543
1.057,1.291
1.291,1.057
1.543,0.843
1.812,0.651
2.096,0.482
2.393,0.337
2.701,0.217
3.018,0.122
3.342,0.055
3.670,0.014
4.000,0.000
